Segment,Ship Mode,Region,Order Priority,Sales,Quantity,Discount,Profit,Shipping Cost,TotalSale,SalesAfterDiscount
Consumer,Second Class,South,Medium,27.9,5,0,6.98,1.41,139.5,139.5
Corporate,Standard Class,Southeast Asia,Medium,28.43,5,0.15,1.28,1.35,142.1625,120.84
Corporate,Standard Class,South,Medium,18.44,5,0.6,-17.56,1.26,92.2,36.88
Corporate,Standard Class,EMEA,Medium,13.44,1,0,4.95,0.99,13.44,13.44
Corporate,Standard Class,South,Low,4.71,1,0.2,1.41,0.9,4.712,3.77
Consumer,Standard Class,Central,Medium,10.48,6,0.8,-17.29,0.83,62.856,12.57
Consumer,Standard Class,East,Medium,11.65,5,0,3.38,0.82,58.25,58.25
Corporate,Second Class,West,Critical,5,1,0,2.4,0.69,5,5
Corporate,Standard Class,South,Low,5.04,1,0.2,1.64,0.67,5.04,4.03
Corporate,Standard Class,North,Medium,10.36,1,0,2.06,0.47,10.36,10.36
Corporate,Standard Class,EMEA,Low,4.44,1,0.6,-6,0.41,4.44,1.78
Consumer,Standard Class,West,Medium,5.04,3,0,0.2,0.39,15.12,15.12
Corporate,Second Class,Central,Medium,1718.4,6,0.2,150.36,161.69,10310.4,8248.32
Corporate,Second Class,Central,Medium,360.71,11,0.2,130.76,48.4,3967.832,3174.27
Corporate,Standard Class,West,High,221.96,2,0,4.44,43.34,443.92,443.92
Corporate,Standard Class,West,High,236,4,0,40.12,34.52,944,944
Corporate,Second Class,EMEA,Medium,238.5,6,0,7.02,24.64,1431,1431
Corporate,First Class,Africa,Medium,86.56,6,0.7,-176.06,20.78,519.372,155.81
Consumer,Standard Class,Africa,Medium,270.96,4,0,10.8,19.87,1083.84,1083.84
Corporate,Standard Class,Central Asia,Medium,145.89,3,0,17.46,15.08,437.67,437.67
Corporate,Second Class,EMEA,Medium,97.86,2,0,29.34,13.49,195.72,195.72
Corporate,Second Class,Central,Medium,119.96,5,0.2,12,10.19,599.8,479.84
Corporate,First Class,Africa,Medium,60.66,4,0.7,-119.34,9.15,242.64,72.79
Consumer,Standard Class,North,Medium,33.48,6,0,0,3.21,200.88,200.88
Consumer,Standard Class,Africa,Medium,26.08,2,0.7,-56.54,1.51,52.164,15.65
Consumer,Standard Class,Africa,Medium,10.95,1,0,2.4,1.1,10.95,10.95
Corporate,Standard Class,West,Medium,15.7,3,0.2,5.1,0.95,47.088,37.67
Consumer,Standard Class,Central,Medium,10.68,3,0,0.3,0.75,32.04,32.04
Consumer,Standard Class,Africa,Medium,5.24,2,0.7,-6.82,0.38,10.476,3.14
Corporate,First Class,Africa,Medium,8.48,1,0.7,-13.87,0.3,8.478,2.54
Corporate,Second Class,EMEA,Medium,44.37,1,0,10.2,0.24,44.37,44.37
Corporate,First Class,Africa,Medium,4.01,1,0.7,-4.3,0.2,4.014,1.2
Corporate,First Class,Africa,Medium,1.6,1,0.7,-1.58,0.15,1.602,0.48
Consumer,Standard Class,Central,Medium,919.89,3,0,303.48,91.49,2759.67,2759.67
Consumer,Standard Class,South,Medium,1022.04,6,0,61.2,61.46,6132.24,6132.24
Corporate,Standard Class,South,High,379.08,2,0,26.52,49.76,758.16,758.16
Consumer,Standard Class,EMEA,Medium,234.86,4,0.6,-287.74,17.54,939.456,375.78
Consumer,Standard Class,South,Medium,169.96,2,0.4,-39.68,16.14,339.912,203.95
Consumer,Standard Class,South,High,87.72,3,0,41.22,8.58,263.16,263.16
Consumer,Standard Class,South,Medium,163.44,3,0,45.76,6.93,490.32,490.32
Consumer,Standard Class,EMEA,Medium,81.85,1,0.6,-65.51,5.74,81.852,32.74
Consumer,Standard Class,South,Medium,106.32,3,0,49.97,5.42,318.96,318.96
Consumer,First Class,North,High,50.52,5,0.4,2.52,4.71,252.6,151.56
Consumer,Standard Class,South,Medium,43.98,2,0,20.22,4.4,87.96,87.96
Consumer,Standard Class,South,Medium,59.64,2,0,17.88,3.79,119.28,119.28
Consumer,Standard Class,South,Medium,51.55,5,0,24.23,3.57,257.75,257.75
Consumer,Standard Class,South,Medium,42.76,2,0,11.12,2.61,85.52,85.52
Consumer,Standard Class,EMEA,Medium,40.48,1,0.6,-58.7,2.45,40.476,16.19
Corporate,Second Class,Oceania,Medium,27.36,2,0,4.08,1.99,54.72,54.72
Corporate,Standard Class,South,Medium,35.76,3,0,2.46,1.7,107.28,107.28
Consumer,Standard Class,EMEA,Medium,17.76,4,0.6,-24,1.52,71.04,28.42
Consumer,Standard Class,EMEA,Medium,27.5,6,0.6,-23.44,1.34,165.024,66.01
Consumer,Standard Class,EMEA,Medium,10.32,4,0.6,-5.52,0.45,41.28,16.51
Corporate,Standard Class,EMEA,Medium,22.14,1,0,1.32,0.38,22.14,22.14
Consumer,Standard Class,EMEA,Medium,3.35,1,0.6,-1.93,0.34,3.348,1.34
Corporate,Standard Class,Central,High,667.54,3,0.15,-31.49,97.68,2002.617,1702.22
Consumer,Standard Class,Oceania,Medium,462.1,7,0.1,-36.02,33.37,3234.735,2911.26
Corporate,Standard Class,Central,High,558.95,11,0.1,92.99,31.34,6148.494,5533.64
Corporate,Standard Class,Central,High,245.97,5,0.1,-13.68,31.18,1229.85,1106.86
Corporate,Standard Class,Central,High,284.07,2,0.15,100.23,29.6,568.14,482.92
Consumer,Second Class,Central,Medium,479.95,6,0.2,89.99,19.4,2879.712,2303.77
Consumer,Standard Class,Oceania,Medium,757.76,3,0.1,-84.2,15.49,2273.265,2045.94
Corporate,Standard Class,Central,Medium,219.84,4,0,76.92,12.79,879.36,879.36
Corporate,Standard Class,Central,Medium,71.4,4,0,5.64,6.79,285.6,285.6
Corporate,Second Class,Central,High,40.1,4,0.2,13.53,5.55,160.384,128.31
Corporate,Standard Class,Central,High,38.16,3,0,19.08,4.99,114.48,114.48
Consumer,Standard Class,West,Medium,203.92,5,0.2,22.94,4.85,1019.6,815.68
Corporate,Standard Class,North,High,41.55,5,0,3.3,4.49,207.75,207.75
Corporate,Second Class,Central,High,20.8,2,0.2,6.5,3.81,41.6,33.28
Corporate,Second Class,Central,High,40.78,2,0.6,-30.59,3.58,81.568,32.63
Corporate,Standard Class,Central,Medium,236.1,2,0,115.68,3.42,472.2,472.2
Corporate,Standard Class,North,Medium,48.5,5,0,10.1,2.43,242.5,242.5
Consumer,Standard Class,Oceania,Medium,32.16,3,0.1,9.21,2.09,96.471,86.82
Corporate,Standard Class,Central,High,18.66,2,0.5,-0.78,1.61,37.32,18.66
Consumer,Standard Class,North Asia,Medium,26.4,2,0,4.44,1.4,52.8,52.8
Corporate,Standard Class,Central,High,23.25,1,0,4.41,1.33,23.25,23.25
Consumer,Standard Class,Africa,Medium,9.6,2,0,4.38,0.6,19.2,19.2
Corporate,Second Class,Southeast Asia,Medium,788.93,6,0.27,-259.39,97.73,4733.5536,3455.49
Corporate,Second Class,Southeast Asia,Medium,457.46,4,0.17,60.62,42.58,1829.8512,1518.78
Corporate,First Class,Central,Critical,359.88,3,0.2,22.49,41.35,1079.64,863.71
Consumer,Standard Class,Southeast Asia,High,244.65,5,0,107.55,37.63,1223.25,1223.25
Consumer,Standard Class,North,Low,248.82,2,0,39.78,32.25,497.64,497.64
Corporate,First Class,Central,Critical,113.52,5,0.2,29.8,25.73,567.6,454.08
Corporate,Second Class,South,High,132.72,2,0.6,-119.46,21.41,265.44,106.18
Consumer,Standard Class,Caribbean,High,151.99,3,0.7,-339.47,20.52,455.976,136.79
Consumer,Standard Class,Africa,High,197.94,1,0,96.99,18.43,197.94,197.94
Consumer,Standard Class,Caribbean,Low,190.92,3,0,9.54,17.06,572.76,572.76
Consumer,Standard Class,Caribbean,High,139.35,1,0.202,48.53,16.31,139.34676,111.2
Corporate,Standard Class,EMEA,Low,123.36,2,0,36.96,10.73,246.72,246.72
Consumer,Second Class,North,Medium,63.9,2,0,23.64,8.46,127.8,127.8
Corporate,First Class,Africa,Critical,24.72,1,0,10.86,5.84,24.72,24.72
Corporate,Standard Class,EMEA,Low,23.73,1,0,10.65,2.32,23.73,23.73
Consumer,Standard Class,Caribbean,High,15.82,1,0.2,-2.18,2.24,15.824,12.66
Corporate,Second Class,Southeast Asia,Medium,146.91,4,0.27,24.15,1.79,587.6208,428.96
Corporate,Second Class,Southeast Asia,Medium,11.85,1,0.17,1.56,1.77,11.8524,9.84
Corporate,Standard Class,EMEA,Low,5.34,1,0,2.16,0.96,5.34,5.34
Consumer,Second Class,South,Medium,4.61,2,0.2,1.67,0.9,9.216,7.37
Consumer,Standard Class,Caribbean,High,9.12,3,0.2,-0.6,0.77,27.36,21.89
Consumer,Standard Class,South,High,367.83,3,0,29.34,81.06,1103.49,1103.49
Corporate,Standard Class,North,High,541.18,7,0.2,53.98,54.86,3788.288,3030.63
Corporate,Standard Class,Central,Medium,948.05,13,0.1,126.32,40.01,12324.663,11092.2
Consumer,Standard Class,West,Medium,369.91,3,0.2,-13.87,25.95,1109.736,887.79
Consumer,Standard Class,East,Medium,370.14,3,0,144.35,24.22,1110.42,1110.42
Consumer,Standard Class,South,High,98.76,4,0,7.8,12.69,395.04,395.04
Corporate,Standard Class,North,High,68.28,6,0,0.6,11.84,409.68,409.68
Corporate,Standard Class,North,High,94.44,6,0,45.24,10.12,566.64,566.64
Corporate,Standard Class,North,Low,28.24,4,0,2.48,5.47,112.96,112.96
Corporate,Second Class,EMEA,High,37.92,2,0.6,-45.54,4.85,75.84,30.34
Corporate,Standard Class,North,High,20.72,1,0.4,-2.78,4.32,20.724,12.43
Corporate,Standard Class,North,Low,24.72,4,0,3.2,3.12,98.88,98.88
Consumer,Standard Class,Africa,Medium,44.45,1,0.7,-50.38,2.44,44.451,13.34
Corporate,Standard Class,North,High,22.24,2,0,8.64,2.36,44.48,44.48
Corporate,Standard Class,North,Low,33.65,2,0.4,-19.63,2.1,67.296,40.38
Corporate,Standard Class,EMEA,Medium,44.11,2,0.6,-35.33,2.08,88.224,35.29
Corporate,Standard Class,North,Low,15,2,0,4.48,1.39,30,30
Corporate,Standard Class,North,Low,20.58,7,0,6.16,1.24,144.06,144.06
Consumer,Standard Class,North,Medium,21.28,3,0.5,-12.38,1.22,63.855,31.93
Corporate,Standard Class,North,Low,11,1,0,0.88,1.04,11,11
Corporate,Standard Class,North,Low,17.2,2,0,6.52,0.96,34.4,34.4
Consumer,Standard Class,Africa,Medium,7.35,1,0.7,-7.38,0.89,7.353,2.21
Consumer,Standard Class,Africa,Medium,8.93,1,0.7,-17.56,0.58,8.928,2.68
Consumer,Standard Class,East,Medium,17.94,3,0,3.05,0.53,53.82,53.82
Corporate,Second Class,EMEA,High,2.8,1,0.6,-0.77,0.23,2.796,1.12
Corporate,First Class,Oceania,High,911.36,7,0.1,70.73,110.99,6379.506,5741.56
Consumer,Standard Class,Southeast Asia,Medium,837.63,3,0,376.92,45.37,2512.89,2512.89
Corporate,First Class,Oceania,High,278.64,6,0.1,3.06,40.07,1671.84,1504.66
Corporate,Second Class,EMEA,Medium,291.79,2,0.6,-196.97,38.11,583.584,233.43
Consumer,Standard Class,Oceania,High,249.88,5,0.1,41.54,36.97,1249.425,1124.48
Consumer,Standard Class,Oceania,Medium,504.54,5,0.4,-42.06,30.98,2522.7,1513.62
Consumer,Standard Class,Central Asia,Medium,549.24,4,0,252.6,28.98,2196.96,2196.96
Consumer,Second Class,Central,High,834.62,2,0.1,296.72,26.15,1669.248,1502.32
Corporate,First Class,Oceania,High,95.26,7,0.1,31.63,21.99,666.792,600.11
Consumer,Standard Class,Oceania,Medium,286.09,6,0.1,104.83,18.17,1716.552,1544.9
Corporate,First Class,Oceania,High,106.54,2,0.1,46.12,13.23,213.084,191.78
Consumer,Standard Class,Africa,High,97.8,2,0,2.88,12.73,195.6,195.6
Corporate,First Class,Oceania,High,71.2,3,0.1,-4.04,12.66,213.597,192.24
Consumer,Second Class,Southeast Asia,Medium,119.52,3,0.17,-14.4,11.82,358.56,297.6
Corporate,First Class,Oceania,High,63.5,6,0.1,6.98,10.96,381.024,342.92
Consumer,Standard Class,Africa,High,93,4,0,19.44,9.3,372,372
Consumer,Standard Class,Central,High,71.36,3,0.1,24.56,8.53,214.083,192.67
Corporate,Standard Class,Central,High,88.02,3,0.4,-5.88,8.4,264.06,158.44
Corporate,First Class,Southeast Asia,Medium,57.3,5,0,21.75,7.53,286.5,286.5
Consumer,Standard Class,Oceania,Medium,104.17,2,0.1,10.39,7.28,208.332,187.5
Corporate,Standard Class,Central,Medium,114.14,4,0.4,-32.42,7.22,456.576,273.95
Corporate,Standard Class,Canada,Medium,187.02,6,0,26.1,6.96,1122.12,1122.12
Consumer,Standard Class,Central Asia,Medium,68.4,6,0,1.26,6.12,410.4,410.4
Consumer,Standard Class,South,Medium,48.81,3,0,23.92,4.63,146.43,146.43
Consumer,Standard Class,Central,Medium,34.74,3,0,11.43,3.62,104.22,104.22
Corporate,Standard Class,Central,High,79.3,8,0.4,-0.06,3.37,634.368,380.62
Consumer,Second Class,South,Critical,8.84,1,0,1.76,3.3,8.84,8.84
Corporate,First Class,Oceania,High,22.06,1,0.1,-1.73,2.77,22.059,19.85
Corporate,Second Class,Africa,Medium,25,1,0.7,-23.36,2.63,25.002,7.5
Corporate,First Class,Oceania,High,9.94,1,0.1,1.21,1.75,9.936,8.94
Corporate,First Class,Southeast Asia,Medium,12.72,1,0,1.14,1.75,12.72,12.72
Corporate,First Class,Oceania,High,112.67,3,0.1,17.45,1.72,338.013,304.21
Consumer,Standard Class,Oceania,High,20.57,2,0.1,8.45,1.47,41.148,37.03
Corporate,Second Class,EMEA,Medium,29.66,8,0.6,-12.1,1.18,237.312,94.92
Corporate,Second Class,Central,High,10.95,2,0.5,-6.57,0.95,21.9,10.95
Corporate,Standard Class,Central,Medium,32.51,3,0.4,-13.57,0.59,97.524,58.51
Corporate,First Class,Southeast Asia,Medium,180.6,5,0,48.75,0.26,903,903
Corporate,Second Class,EMEA,Medium,4.94,1,0.6,-1.87,0.22,4.944,1.98
Consumer,Standard Class,Oceania,Medium,8.69,1,0.4,-4.36,0.2,8.694,5.22
Corporate,Second Class,EMEA,High,461.43,1,0,4.59,80.46,461.43,461.43
Consumer,Second Class,West,High,355.36,4,0,92.39,71.55,1421.44,1421.44
Corporate,Standard Class,Southeast Asia,High,366.21,3,0,36.54,61.16,1098.63,1098.63
Corporate,Standard Class,Southeast Asia,High,594.16,6,0.17,-28.64,58.49,3564.9828,2958.94
Corporate,Standard Class,Southeast Asia,High,312.06,7,0,115.29,48.63,2184.42,2184.42
Consumer,Second Class,West,High,140.38,3,0.2,8.77,25.24,421.128,336.9
Corporate,Standard Class,Southeast Asia,High,216.3,2,0,45.42,22.66,432.6,432.6
Corporate,Standard Class,South,Low,113.1,3,0,56.55,15.41,339.3,339.3
Consumer,Second Class,Central,Medium,161.16,4,0,19.32,14.45,644.64,644.64
Consumer,Standard Class,North,Medium,248.88,4,0.5,-149.4,12.58,995.52,497.76
Consumer,Standard Class,South,High,54.66,2,0,2.16,5.93,109.32,109.32
Consumer,Standard Class,South,Medium,72.6,5,0.2,-8.17,5.11,363,290.4
Consumer,Standard Class,North,Medium,59.82,4,0.5,-34.74,4.59,239.28,119.64
Corporate,Standard Class,Southeast Asia,High,35.16,4,0,0.6,3.99,140.64,140.64
Consumer,Standard Class,South,Medium,38.52,3,0.7,-26.96,3.4,115.56,34.67
Consumer,Standard Class,South,Medium,64.2,5,0.7,-42.8,3.09,321,96.3
Corporate,Standard Class,Southeast Asia,High,20.16,3,0,9,2.45,60.48,60.48
Consumer,Standard Class,North,Medium,159.03,6,0.5,-28.71,1.92,954.18,477.09
Consumer,Standard Class,Central,High,12.96,2,0,6.22,1.3,25.92,25.92
Consumer,Standard Class,North,Medium,11.88,2,0.5,-5.94,1.08,23.76,11.88
Consumer,Second Class,Central,Medium,20.97,3,0,10.26,1.08,62.91,62.91
Consumer,Standard Class,EMEA,Medium,6.53,2,0.6,-7.51,0.55,13.056,5.22
Consumer,Standard Class,EMEA,Medium,5.74,1,0.6,-2.75,0.38,5.736,2.29
Consumer,Standard Class,EMEA,Medium,10.68,1,0.6,-8.55,0.37,10.68,4.27
Consumer,Standard Class,North,Medium,7.78,1,0.5,-4.84,0.32,7.785,3.89
Corporate,First Class,North,Medium,1060.8,8,0,254.56,163.28,8486.4,8486.4
Consumer,Standard Class,North,Medium,1420.83,6,0.002,566.55,95.6,8524.99584,8507.95
Corporate,First Class,North,Medium,439.2,2,0.2,-21.96,81.27,878.4,702.72
Consumer,Standard Class,East,Medium,464.97,3,0,209.24,37.52,1394.91,1394.91
Corporate,First Class,North,Medium,76.16,1,0.2,-4.76,15.7,76.16,60.93
Consumer,Standard Class,East,Medium,181.96,2,0,20.02,14.12,363.92,363.92
Corporate,First Class,North,Medium,156.62,3,0.2,-29.38,10.2,469.872,375.9
Consumer,Standard Class,East,Medium,153.36,9,0,70.55,9.88,1380.24,1380.24
Corporate,First Class,North,Medium,54.48,6,0,10.32,9.23,326.88,326.88
Corporate,First Class,North,Medium,40.98,3,0,18.84,7.28,122.94,122.94
Corporate,First Class,North,Medium,52.56,4,0,4.16,7.24,210.24,210.24
Consumer,Standard Class,Oceania,Medium,75.52,1,0.1,32.71,6.88,75.519,67.97
Consumer,Standard Class,East,Medium,98.21,7,0,28.48,6.48,687.47,687.47
Consumer,Standard Class,East,Medium,84.09,3,0,42.04,6.3,252.27,252.27
Consumer,Standard Class,East,Medium,79.36,4,0,32.54,5.7,317.44,317.44
Consumer,Second Class,North,Medium,64.3,5,0,12.8,5.58,321.5,321.5
Corporate,Standard Class,East,Medium,122.94,3,0,59.01,5.43,368.82,368.82
Consumer,Standard Class,East,Medium,43.68,6,0,21.4,3.98,262.08,262.08
Consumer,Second Class,South,Medium,34.82,2,0.4,2.3,2.98,69.648,41.79
Corporate,Standard Class,Central,Medium,48.63,2,0.8,-121.58,1.27,97.264,19.45
Consumer,Standard Class,Central,Medium,28.04,1,0,1.4,1.01,28.04,28.04
Consumer,Standard Class,East,Medium,12.39,3,0,5.7,0.86,37.17,37.17
Consumer,Standard Class,East,Medium,15.8,4,0,5.06,0.8,63.2,63.2
Corporate,First Class,North,Medium,17.84,4,0,4.56,0.74,71.36,71.36
Consumer,Standard Class,South,High,5.16,3,0.2,0.84,0.36,15.48,12.38
Corporate,Standard Class,East,Medium,6.58,2,0,3.03,0.35,13.16,13.16
Consumer,Second Class,East,Medium,269.98,3,0.4,40.5,0.18,809.946,485.97
Consumer,First Class,Southeast Asia,Critical,1226.19,7,0,612.99,340.09,8583.33,8583.33
Consumer,First Class,East,Medium,1217.57,2,0.2,456.59,179.39,2435.136,1948.11
Consumer,First Class,East,Medium,979.95,5,0,274.39,155.28,4899.75,4899.75
Corporate,Standard Class,Oceania,High,1251.94,3,0.1,417.28,151.88,3755.808,3380.23
Consumer,Standard Class,Central,Medium,1080.63,3,0,64.8,76.33,3241.89,3241.89
Corporate,Standard Class,Central,High,644.44,4,0.15,-60.68,63.45,2577.744,2191.08
Corporate,Second Class,Central,Medium,687.4,5,0,48.12,58.73,3437,3437
Corporate,Standard Class,Central,High,291.6,6,0,125.28,40.34,1749.6,1749.6
Corporate,Standard Class,Central,Medium,622.45,5,0,136.94,40.02,3112.25,3112.25
Corporate,Standard Class,Central,High,245.07,3,0,19.53,36.99,735.21,735.21
Consumer,Standard Class,EMEA,Medium,396.84,2,0,67.44,35.72,793.68,793.68
Consumer,First Class,East,Medium,307.98,2,0,89.31,32.96,615.96,615.96
Corporate,Standard Class,South,Medium,549.24,6,0,76.8,32.35,3295.44,3295.44
Consumer,First Class,East,Medium,143.7,3,0,68.98,30.92,431.1,431.1
Consumer,First Class,East,Medium,247.8,4,0,34.69,28.35,991.2,991.2
Corporate,Standard Class,South,Low,161.6,2,0.002,30.44,22.43,323.19232,322.55
Consumer,First Class,Southeast Asia,Critical,94.5,3,0,40.59,19.18,283.5,283.5
Consumer,First Class,East,Medium,382.81,9,0.4,-153.12,18.15,3445.254,2067.15
Corporate,Standard Class,South,Low,133.14,3,0,5.28,16.61,399.42,399.42
Corporate,Standard Class,Central,Medium,232.39,3,0.1,85.15,14.12,697.167,627.45
Corporate,Standard Class,East,Medium,144.12,3,0,69.18,11.85,432.36,432.36
Corporate,Second Class,Southeast Asia,Medium,99.6,2,0.17,19.2,11.03,199.2,165.34
Consumer,Second Class,Southeast Asia,Critical,54.72,4,0,6,9.34,218.88,218.88
Corporate,Second Class,Central Asia,High,58.65,5,0,25.2,8.38,293.25,293.25
Consumer,Standard Class,South,Medium,88.83,3,0,36.36,6.89,266.49,266.49
Corporate,Standard Class,Central,High,51.65,1,0.1,-1.75,6.49,51.651,46.49
Consumer,Standard Class,Central Asia,Medium,70.35,5,0,18.9,5.98,351.75,351.75
Consumer,Standard Class,South,Medium,53.28,2,0,12.24,5.03,106.56,106.56
Corporate,Standard Class,South,Low,49.8,2,0,15.92,4.94,99.6,99.6
Corporate,Second Class,EMEA,Critical,17.77,1,0.6,-12.02,4.79,17.772,7.11
Consumer,First Class,East,Medium,47.04,3,0,18.35,4.47,141.12,141.12
Corporate,Standard Class,Central,High,33.93,3,0,2.97,3.39,101.79,101.79
Consumer,Standard Class,North,Medium,106.65,9,0,23.22,2.72,959.85,959.85
Consumer,First Class,East,Medium,41.96,2,0,2.94,2.46,83.92,83.92
Consumer,First Class,East,Medium,10.65,3,0,5.01,1.85,31.95,31.95
Corporate,Standard Class,Central,Medium,21.98,1,0,0.22,1.79,21.98,21.98
Corporate,Standard Class,East,Medium,10.02,3,0,4.41,0.76,30.06,30.06
Corporate,Standard Class,Africa,Medium,17.52,1,0,5.43,0.4,17.52,17.52
Corporate,Standard Class,Africa,Medium,4.8,1,0,2.19,0.37,4.8,4.8
Corporate,Standard Class,South,Medium,4.61,2,0.2,1.67,0.25,9.216,7.37
Corporate,Standard Class,Central,Medium,2.2,1,0,0.97,0.12,2.2,2.2
Consumer,First Class,East,Medium,6.16,2,0,2.96,0.09,12.32,12.32
Corporate,Standard Class,Central,Medium,1200.89,2,0.35,-147.85,75.79,2401.776,1561.15
Consumer,First Class,Central,High,513.12,3,0,112.86,69.28,1539.36,1539.36
Consumer,First Class,South,Medium,297.96,3,0,77.46,53.94,893.88,893.88
Consumer,First Class,South,Medium,621.18,7,0,12.32,35.05,4348.26,4348.26
Corporate,Standard Class,Central,Medium,505.39,1,0.1,44.92,31.58,505.386,454.85
Consumer,First Class,Central,High,167.28,3,0,10.02,30.06,501.84,501.84
Corporate,Second Class,Central,Critical,619.95,5,0,111.59,181.01,3099.75,3099.75
Consumer,Second Class,North,High,1196.3,7,0,574.14,169.97,8374.1,8374.1
Consumer,Second Class,East,High,631.96,4,0,303.34,121.21,2527.84,2527.84
Corporate,Standard Class,Central Asia,Medium,1334.55,5,0,360.3,78.28,6672.75,6672.75
Corporate,Standard Class,Southeast Asia,Medium,786.29,3,0.47,-563.8,60.46,2358.8604,1250.2
Corporate,Standard Class,EMEA,Medium,494.22,1,0,113.67,36.27,494.22,494.22
Consumer,Standard Class,Central,Medium,389.97,3,0,35.1,36.08,1169.91,1169.91
Consumer,Standard Class,South,High,342.08,2,0,0,32.72,684.16,684.16
Corporate,Standard Class,Caribbean,High,211.94,1,0.002,20.8,27.13,211.93528,211.51
Corporate,Second Class,Central,Critical,57.96,7,0,27.24,22.56,405.72,405.72
Consumer,Standard Class,Central,Medium,269.91,5,0.1,53.98,20.47,1349.55,1214.6
Corporate,Standard Class,South,Medium,285.21,3,0.002,65.13,19.45,855.62532,853.91
Consumer,Standard Class,North Asia,Medium,414.72,2,0,8.28,17.52,829.44,829.44
Consumer,Standard Class,South,High,131.64,3,0,17.1,15.35,394.92,394.92
Corporate,Standard Class,EMEA,Medium,182.61,1,0,51.12,14.7,182.61,182.61
Corporate,Standard Class,South,Medium,174.27,1,0.002,83.45,13.26,174.27076,173.92
Consumer,Standard Class,South,High,68.6,2,0,26.72,10.86,137.2,137.2
Consumer,Second Class,North,Critical,29.4,2,0,5.88,8.8,58.8,58.8
Consumer,Second Class,North,Critical,22.05,1,0,3.96,7.95,22.05,22.05
Consumer,Second Class,Africa,High,59.22,2,0,24.24,7.84,118.44,118.44
Corporate,Standard Class,Africa,Medium,102.54,2,0,35.88,7.69,205.08,205.08
Consumer,Standard Class,South,High,43.56,3,0,7.8,7.63,130.68,130.68
Consumer,Standard Class,Africa,Medium,104.76,6,0,42.84,6.84,628.56,628.56
Corporate,Second Class,Central,Critical,29.16,3,0,8.46,6.49,87.48,87.48
Corporate,Second Class,Central,Critical,29.4,3,0.1,5.23,6.1,88.209,79.39
Corporate,First Class,Oceania,Critical,33.88,1,0.4,-15.26,5.38,33.876,20.33
Corporate,Standard Class,EMEA,Medium,84.6,1,0,29.61,5.26,84.6,84.6
Corporate,Standard Class,Caribbean,High,23.7,3,0,11.34,4.52,71.1,71.1
Consumer,Second Class,North,High,31.14,3,0,4.32,4.42,93.42,93.42
Corporate,Standard Class,Southeast Asia,Medium,75.6,2,0.27,4.14,4.06,151.1976,110.37
Consumer,Standard Class,Caribbean,Medium,38.48,4,0,10.32,3.03,153.92,153.92
Consumer,Standard Class,South,Medium,37.38,8,0.2,7.48,3.01,299.008,239.21
Corporate,Standard Class,South,Medium,71.64,9,0,4.14,2.59,644.76,644.76
Consumer,Second Class,East,High,23.92,4,0,10.76,2.49,95.68,95.68
Consumer,First Class,Central,High,11.69,1,0.4,-0.21,2.46,11.688,7.01
Corporate,Second Class,North Asia,Medium,27,2,0,13.2,2.42,54,54
Consumer,Standard Class,South,Medium,30.84,2,0,8.33,2.39,61.68,61.68
Consumer,Standard Class,North Asia,Medium,31.23,3,0,3.69,2.19,93.69,93.69
Consumer,Standard Class,North Asia,Medium,47.28,4,0,0.36,2.09,189.12,189.12
Consumer,Standard Class,Caribbean,Medium,22.82,7,0,6.16,1.92,159.74,159.74
Corporate,Standard Class,EMEA,Medium,18.72,1,0,2.97,1.27,18.72,18.72
Corporate,Standard Class,EMEA,Medium,29.04,4,0,10.08,1.25,116.16,116.16
Consumer,Standard Class,South,Medium,12.8,5,0.6,-6.8,0.94,64,25.6
Consumer,Standard Class,South,Medium,12.24,3,0.6,-18.36,0.89,36.72,14.69
Consumer,Standard Class,South,Medium,11.21,2,0.7,-8.6,0.86,22.428,6.73
Consumer,Standard Class,South,Medium,1.87,2,0.7,-1.31,0.24,3.744,1.12
Corporate,Standard Class,Africa,Medium,1198.32,4,0,0,105.42,4793.28,4793.28
Corporate,Standard Class,East,High,2321.9,2,0,1114.51,92.2,4643.8,4643.8
Corporate,Standard Class,Central,Medium,1297.62,9,0,64.8,88.03,11678.58,11678.58
Consumer,Second Class,East,High,899.95,5,0,54,70.36,4499.75,4499.75
Consumer,Standard Class,Central,Medium,1024.38,7,0,215.12,62.17,7170.66,7170.66
Consumer,First Class,Southeast Asia,Medium,432.96,7,0.17,140.64,50.24,3030.7284,2515.5
Consumer,Standard Class,Central,High,248.83,3,0.4,-66.41,47.73,746.496,447.9
Consumer,First Class,Southeast Asia,Medium,237.32,3,0.17,-37.18,44.6,711.9657,590.93
Consumer,Standard Class,Caribbean,Medium,597.74,9,0.2,209.12,29.8,5379.696,4303.76
Corporate,Standard Class,North,High,156.24,5,0.2,50.74,25.04,781.2,624.96
Corporate,Standard Class,North,High,235.02,1,0.2,-44.08,24.39,235.024,188.02
Consumer,Second Class,East,High,244.55,5,0,4.89,24.12,1222.75,1222.75
Consumer,First Class,South,Medium,204.38,4,0.2,30.62,21.76,817.536,654.03
Consumer,Standard Class,South,High,147,5,0,72,19.64,735,735
Corporate,Standard Class,Africa,Medium,254.94,2,0,2.52,18.67,509.88,509.88
Corporate,Standard Class,North,High,134.72,4,0,2.64,15.22,538.88,538.88
Consumer,Standard Class,Caribbean,Medium,118.75,2,0.4,-33.65,13.18,237.504,142.5
